id,locked,mouse,release,repeat,longPress,non_consuming,has_description,modmask,submap,submap_universal,key,keycode,catch_all,desc,command_id,context_id
153,0,0,0,0,0,0,1,M,,0,0,0,0,go to workspace 9,,
154,0,0,0,0,0,0,1,M-C,,0,1,0,0,force ws 1 to act mon,,
155,0,0,0,0,0,0,1,M-C,,0,2,0,0,force ws 2 to act mon,,
156,0,0,0,0,0,0,1,M-C,,0,3,0,0,force ws 3 to act mon,,
157,0,0,0,0,0,0,1,M-C,,0,4,0,0,force ws 4 to act mon,,
158,0,0,0,0,0,0,1,M-C,,0,5,0,0,force ws 5 to act mon,,
159,0,0,0,0,0,0,1,M-C,,0,6,0,0,force ws 6 to act mon,,
160,0,0,0,0,0,0,1,M-C,,0,7,0,0,force ws 7 to act mon,,
161,0,0,0,0,0,0,1,M-C,,0,8,0,0,force ws 8 to act mon,,
162,0,0,0,0,0,0,1,M-C,,0,9,0,0,force ws 9 to act mon,,
163,0,0,0,0,0,0,1,M-C,,0,0,0,0,force ws 9 to act mon,,
164,0,0,0,0,0,0,1,M-S,,0,1,0,0,move window to workspace 1,,
165,0,0,0,0,0,0,1,M-S,,0,2,0,0,move window to workspace 2,,
166,0,0,0,0,0,0,1,M-S,,0,3,0,0,move window to workspace 3,,
167,0,0,0,0,0,0,1,M-S,,0,4,0,0,move window to workspace 4,,
168,0,0,0,0,0,0,1,M-S,,0,5,0,0,move winkow to workspace 5,,
169,0,0,0,0,0,0,1,M-S,,0,6,0,0,move window to workspace 6,,
170,0,0,0,0,0,0,1,M-S,,0,7,0,0,move window to workspace 7,,
171,0,0,0,0,0,0,1,M-S,,0,8,0,0,move window to workspace 8,,
172,0,0,0,0,0,0,1,M-S,,0,9,0,0,move window to workspace 9,,
173,0,0,0,0,0,0,1,M-S,,0,0,0,0,move window to workspace 9,,
174,0,0,0,0,0,0,1,MEH(C-A-S),,0,1,0,0,move window to workspace 1,,
175,0,0,0,0,0,0,1,MEH(C-A-S),,0,2,0,0,move window to workspace 2,,
176,0,0,0,0,0,0,1,MEH(C-A-S),,0,3,0,0,move window to workspace 3,,
177,0,0,0,0,0,0,1,MEH(C-A-S),,0,4,0,0,move window to workspace 4,,
178,0,0,0,0,0,0,1,MEH(C-A-S),,0,5,0,0,move window to workspace 5,,
179,0,0,0,0,0,0,1,MEH(C-A-S),,0,6,0,0,move window to workspace 6,,
180,0,0,0,0,0,0,1,MEH(C-A-S),,0,7,0,0,move window to workspace 7,,
181,0,0,0,0,0,0,1,MEH(C-A-S),,0,8,0,0,move window to workspace 8,,
182,0,0,0,0,0,0,1,MEH(C-A-S),,0,9,0,0,move window to workspace 9,,
183,0,0,0,0,0,0,1,MEH(C-A-S),,0,0,0,0,move window to workspace 9,,
184,0,0,0,0,0,0,1,M-C,,0,down,0,0,go to first empty workspace,,
185,0,0,0,0,0,0,1,M-C,,0,j,0,0,go to first empty workspace,,
186,0,0,0,0,0,0,1,M,,0,mouse_down,0,0,scroll workspaces with mouse wheel +,,
187,0,0,0,0,0,0,1,M,,0,mouse_up,0,0,scroll workspaces with mouse wheel -,,
188,0,0,0,0,0,0,1,C,,0,TAB,0,0,advance one workspace,,
189,0,0,0,0,0,0,1,C-S,,0,TAB,0,0,go back one workspace,,
190,0,0,0,0,0,0,1,M,,0,comma,0,0,go to previous monitor,,
191,0,0,0,0,0,0,1,M,,0,period,0,0,go to next monitor,,
192,0,0,0,0,0,0,1,M-S,,0,comma,0,0,flip windows between monitors,,
193,0,0,0,0,0,0,1,M-S,,0,period,0,0,flip windows between monitors,,
194,1,0,0,1,0,0,1,(NONE),,0,XF86AudioLowerVolume,0,0,kbd lower volume,,
195,1,0,0,1,0,0,1,(NONE),,0,XF86AudioRaiseVolume,0,0,kbd raise volume,,
196,1,0,0,0,0,0,1,(NONE),,0,XF86AudioMute,0,0,kbd mute volume,,
197,1,0,0,1,0,0,1,HYPER(M-C-A-S),,0,m,0,0,kbd lower mic volume,,
198,1,0,0,1,0,0,1,HYPER(M-C-A-S),,0,comma,0,0,kbd raise mic volume,,
199,1,0,0,0,0,0,1,HYPER(M-C-A-S),,0,period,0,0,kbd mute mic volume,,
200,1,0,0,0,0,0,1,(NONE),,0,XF86AudioPlay,0,0,kbd toggle toggle play music,,
201,1,0,0,0,0,0,1,(NONE),,0,XF86AudioStop,0,0,kbd toggle stop music,,
202,1,0,0,0,0,0,1,(NONE),,0,XF86AudioNext,0,0,kbd go to next song,,
203,1,0,0,0,0,0,1,(NONE),,0,XF86AudioForward,0,0,kbd go to next song,,
204,1,0,0,0,0,0,1,(NONE),,0,XF86AudioPrev,0,0,kbd go to previous song,,
205,1,0,0,0,0,0,1,(NONE),,0,XF86AudioRewind,0,0,kbd go to previous song,,
206,1,0,0,0,0,0,1,(NONE),,0,XF86AudioMedia,0,0,kbd display current media informantion,,
207,1,0,0,0,0,0,1,HYPER(M-C-A-S),,0,u,0,0,kbd display current media informantion,,
208,0,0,0,0,0,0,1,(NONE),,0,XF86Calculator,0,0,kbd toggle calculator,,
209,0,0,0,0,0,0,1,(NONE),,0,XF86Lock,0,0,kbd toggle lock computer,,
210,0,0,0,0,0,0,1,(NONE),,0,XF86AppSelect,0,0,kbd select app menu,,
211,0,0,0,0,0,0,1,(NONE),,0,XF86Tools,0,0,kbd open the media player,,
212,0,0,0,1,0,0,1,(NONE),,0,XF86ZoomIn,0,0,kbd brightness up,,
213,0,0,0,1,0,0,1,(NONE),,0,XF86ZoomOut,0,0,kbd brightness down,,
214,0,0,0,0,0,0,1,S,,0,XF86ZoomIn,0,0,kbd exmon brightness up,,
215,0,0,0,0,0,0,1,S,,0,XF86ZoomOut,0,0,kbd exmon brightness down,,
216,0,0,0,1,0,0,1,(NONE),,0,XF86KbdBrightnessUp,0,0,kbd brightness up,,
217,0,0,0,1,0,0,1,MEH(C-A-S),,0,up,0,0,kbd brightness up,,
218,0,0,0,1,0,0,1,(NONE),,0,XF86KbdBrightnessDown,0,0,kbd brightness down,,
219,0,0,0,1,0,0,1,MEH(C-A-S),,0,down,0,0,kbd brightness down,,
220,0,0,0,0,0,0,1,S,,0,XF86KbdBrightnessUp,0,0,kbd exmon brightness up,,
221,0,0,0,0,0,0,1,HYPER(M-C-A-S),,0,up,0,0,kbd exmon brightness up,,
222,0,0,0,0,0,0,1,S,,0,XF86KbdBrightnessDown,0,0,kbd exmon brightness down,,
223,0,0,0,0,0,0,1,HYPER(M-C-A-S),,0,down,0,0,kbd exmon brightness down
